Id,CreatedAt,CreatedBy,ModifiedAt,ModifiedBy,Name,Symbol
5129bf07-c884-401e-4fe6-fa7202377cde,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Cuban Peso,CUP
07a46689-5894-4829-43fe-67d6ff597e82,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Cyprus Pound,CYP
94b67f1f-57e3-4b3a-4c14-1f3babb40843,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Czech Koruna,CZK
add90442-8378-42a4-4bae-284da1b7f112,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Dalasi,GMD
78991a40-6022-4da9-4d54-532b02bee51b,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Danish Krone,DKK
be4ab863-0af1-42d1-4723-dac61a5243e7,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Denar,MKD
eae53a1b-d95d-458b-40d6-3b047466158e,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Deutsche Mark,DEM
d5aef744-d823-441e-4d6e-eb3dc9ad1123,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Dinar,BAD
30ad7bc4-c6fa-480e-495e-52d4fca6556b,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Djibouti Franc,DJF
937e9291-0b78-4c82-4525-75cbcafaabac,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Dobra,STN
5a30d7bf-f8ea-4f10-49af-455ec3ac1071,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Dominican Peso,DOP
ab8ff2f4-e1e7-40d0-4a90-84091730d612,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Dong,VND
1749dacf-8084-4ab8-4160-222ebb9235db,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Drachma,GRD
e823012e-6575-4447-4c07-1675e6f0f0ca,3/4/2024,SYSTEM,3/4/2024,SYSTEM,East Caribbean Dollar,XCD
0165ef0c-8ef4-4c7e-45f5-b55e61ef9d29,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Egyptian Pound,EGP
ea3cab9a-8453-4b7f-4b1b-124685ff1bfb,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Ekwele,GQE
43a6661d-7be3-4ee4-4cf1-2a2368a9b497,3/4/2024,SYSTEM,3/4/2024,SYSTEM,El Salvador Colon,SVC
5823932a-a220-420d-48d2-dae350432e5d,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Ethiopian Birr,ETB
935e9dd0-2f7b-4ab2-4994-abd388b9211a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Euro,EUR
0197541b-3951-48ea-4295-d93914eba89e,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Falkland Islands Pound,FKP
7dd014ac-7b61-4281-4f78-66dbe26e0281,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Fiji Dollar,FJD
1c5b76ec-50aa-41bc-41c2-7928d95e0ee2,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Financial Franc,BEL
38cd30c6-1e17-4cb2-439d-dd8f78ddc04e,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Financial Rand,ZAL
8581eafe-e613-48e1-4904-164c984db77a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Forint,HUF
e366f208-9f3b-4b1d-4171-7b0c1c95ad56,3/4/2024,SYSTEM,3/4/2024,SYSTEM,French Franc,FRF
3038c96c-f139-4e5e-4a84-85c05f434fa3,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Georgian Coupon,GEK
9f76fa83-39b2-40a6-485e-32f47b256f8c,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Ghana Cedi,GHS
5428734a-68d4-4796-464f-d7785d4c9d13,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Gibraltar Pound,GIP
0e215db2-007a-4524-4efa-e8462601c645,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Gold,XAU
b341faf5-e05d-4259-4b1c-0433bb78276e,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Gold-Franc,XFO
a4c5f4d3-5da2-4a3f-4741-fde7d8728a71,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Gourde,HTG
8c91eed2-7aac-4812-44df-ae8fe62833d5,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Guarani,PYG
aca2a287-a32d-4d4c-4949-e1a7549cc62d,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Guinea Escudo,GWE
03322348-6f42-47a2-4d0b-b28e07108033,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Guinea-Bissau Peso,GWP
a62a9f23-4f73-41fe-4139-af8b80700a09,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Guinean Franc,GNF
9e5ec4f3-2b9f-4dba-4fe7-4ad264b77081,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Guyana Dollar,GYD
13a8bc57-ded0-46cb-47ec-c168a6b46678,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Hong Kong Dollar,HKD
6a0fc909-c041-4146-4d54-aa8ab7f1c3ea,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Hryvnia,UAH
3994af59-73bd-4283-439b-be3c88994e3d,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Iceland Krona,ISK
03d66476-22a5-405a-4ec6-c836727e6e28,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Indian Rupee,INR
724257fe-286d-400c-4421-0c2c4c5eebdc,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Inti,PEI
4279df72-6cc8-4359-4918-920a7b8cc760,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Iranian Rial,IRR
34a18e7e-4e2f-4ef7-4aac-f813fe693f0f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Iraqi Dinar,IQD
70f6c9c7-54c4-4a0c-42ad-d35575a5f07a,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Irish Pound,IEP
0117fd90-6736-4eff-4d86-791203117a9f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Italian Lira,ITL
5a9d0c24-192c-40f6-445e-c3958359d546,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Jamaican Dollar,JMD
5508eb05-0789-410d-47d6-25cedfe8554f,3/4/2024,SYSTEM,3/4/2024,SYSTEM,Jordanian Dinar,JOD
